username, created_at, lng, lat, text
merlynluciano, Mon Apr 20 02:11:10 +0000 2020, -73.968542, 40.780709, https://t.co/m4Nf72KoTl 
docuvixen, Mon Apr 20 02:11:10 +0000 2020, -79.387200, 43.648000, Actually what people are usually attracted to.. #malijournals Posted withregram • poets embrace your flaws @ Toront… https://t.co/RPUPNHf7oz 
NeceNuggz, Mon Apr 20 02:11:10 +0000 2020, -73.831187, 40.670879, @DeeTheSav_ https://t.co/4UBg8PQRlh 
CRicks1025, Mon Apr 20 02:11:11 +0000 2020, -73.968542, 40.780709, Haha incredible 
joseph__raymond, Mon Apr 20 02:11:11 +0000 2020, -74.153947, 40.572376, @_PrinceMayo Shit is flames 
n1ckh4lden, Mon Apr 20 02:11:11 +0000 2020, -73.849441, 40.850347, LMFAOOOOOOO bill 
kaylaalexis_, Mon Apr 20 02:11:12 +0000 2020, -73.849441, 40.850347, Insecure spends too much energy on their sex scenes for a 30 minute show. 
adena_andrews, Mon Apr 20 02:11:12 +0000 2020, -73.972455, 40.848333, SCOTT! #TheLastDance 
britshaniece, Mon Apr 20 02:11:14 +0000 2020, -73.968542, 40.780709, Ok gross. Who the fuck is writing this shit with Issa?! 
MrCrnoblt, Mon Apr 20 02:11:14 +0000 2020, -73.704938, 40.662135, SCOTT PIPPEN 
DamnPOPS, Mon Apr 20 02:11:18 +0000 2020, -73.948775, 40.655138, @StewYorkCity And still good in Portland 
FreeTown30, Mon Apr 20 02:11:18 +0000 2020, -79.272570, 43.629311, Got drafted by the Sonic's then almost got traded to Seattle 10 yrs later for Shawn Kemp 
Mike29668613, Mon Apr 20 02:11:18 +0000 2020, -80.181835, 38.920142, But Roger stone and Paul manaford should be locked away 
a_eg8__, Mon Apr 20 02:11:19 +0000 2020, -74.187304, 40.808510, I know you're not no good for meBut you look so good to me 💔 
yankee32879, Mon Apr 20 02:11:20 +0000 2020, -73.853200, 40.737300, Graffiti, Corona Queens #graffiti #art #publicart #coronaqueensnyc #coronaqueens #corona #queens #nyc #nofilter… https://t.co/5JhoBTg2Ki 
JaeRoyalty, Mon Apr 20 02:11:21 +0000 2020, -73.412157, 40.702793, Whoosh! Yes! 👏🏾 
evangedward150, Mon Apr 20 02:11:22 +0000 2020, -74.167808, 40.915047, Psalms 143:8Let the morning bring me word of Your unfailing love, for I have put my trust in You. Show me the way… https://t.co/eLCK7f3Pyz 
KING_HERMES04, Mon Apr 20 02:11:22 +0000 2020, -73.968542, 40.780709, 122nd in the NBA! 
DearBritney_ily, Mon Apr 20 02:11:22 +0000 2020, -74.258623, 40.748984, Dudes REALLY wait to show interest, once you’re no longer interested 🚮🥱 
alexislloyd, Mon Apr 20 02:11:23 +0000 2020, -73.948775, 40.655138, @heyemmahey @patkiernan @MattBoggie Oh we are absolutely discussing this. 
ScottSandalow, Mon Apr 20 02:11:23 +0000 2020, -73.948775, 40.655138, “Scott Pippen” #TheLastDance 
ShawnChrist10, Mon Apr 20 02:11:24 +0000 2020, -77.604684, 41.117936, Not even close 
colderthan__ice, Mon Apr 20 02:11:24 +0000 2020, -74.184848, 40.734494, Why would she say that lmfaoooo 
Beatriz13651120, Mon Apr 20 02:11:25 +0000 2020, -75.559413, 41.501462, https://t.co/NIoqYeTwPy 
SolarKookie04, Mon Apr 20 02:11:26 +0000 2020, -71.683502, 42.036939, Kookieeee I missed him omg he looks bit different 🤧🥺 
_KingMalcolm, Mon Apr 20 02:11:26 +0000 2020, -73.829384, 40.912499, Negative 4 
FilandFairy, Mon Apr 20 02:11:27 +0000 2020, -73.968542, 40.780709, Dulu, di taon 2009'an kalo ngetweet dari #SocialScope berasa sultan banget 🤣 secara susah gela buat dapetin kodenya… https://t.co/WYeHoPyP6F 
lellingw, Mon Apr 20 02:11:27 +0000 2020, -77.454733, 43.232025, @funder Have you read Wilmington’s Lies yet?  Do. 
christinabendik, Mon Apr 20 02:11:27 +0000 2020, -74.558216, 40.820712, @drivvvydrip ibiza vibes 
NYCKNP, Mon Apr 20 02:11:28 +0000 2020, -74.304651, 40.436870, President Bill Clinton featured in this documentary. Then again, the Bulls won a lot of titles during his presidenc… https://t.co/8mAj2oBSPk 
SateniqueIngram, Mon Apr 20 02:11:28 +0000 2020, -77.604684, 41.117936, I need new/more friends on here 🥺💗 don’t be shy, pls talk to meeee. stan twitter gets boring with out friends 
mackyomo, Mon Apr 20 02:11:29 +0000 2020, -74.267242, 40.696176, @KileMack Or handles. What are they talking bout 
KDN1692, Mon Apr 20 02:11:29 +0000 2020, -76.823733, 42.053399, Man they got the former governor of  Arkansas and a former resident of Chicago. #TheLastDance 
Jee_vuh, Mon Apr 20 02:11:29 +0000 2020, -73.831187, 40.670879, I miss basketball in Seattle :( 
whats_running, Mon Apr 20 02:11:30 +0000 2020, -149.350000, 60.741300, Sixmile (&amp; E. Fork Sixmile): Running https://t.co/4ZOsqQYnyO 
Krisplashed, Mon Apr 20 02:11:30 +0000 2020, -73.948775, 40.655138, Charles Oakley sightings &gt;&gt;&gt;&gt; 
kasecoke_, Mon Apr 20 02:11:32 +0000 2020, -74.419331, 40.429227, What is a waist 
RandallAtRandom, Mon Apr 20 02:11:32 +0000 2020, -73.968542, 40.780709, https://t.co/paVQckiuXi 
simplykatricia, Mon Apr 20 02:11:32 +0000 2020, -74.153947, 40.572376, @thickysmiley Baby in bed tonight? Cuz episode 2 😳 lol 
MikeRalph62, Mon Apr 20 02:11:32 +0000 2020, -77.604684, 41.117936, @zoey302 @txcelat @CNN There Communist 
reheadedtexan, Mon Apr 20 02:11:33 +0000 2020, -73.831187, 40.670879, @JustinMuschong it us. 
oh1bee11, Mon Apr 20 02:11:33 +0000 2020, -75.770041, 42.746617, @bopinion Need more trade schools 
RebelNapoli, Mon Apr 20 02:11:33 +0000 2020, -73.978382, 40.824489, @UrbanStems I ordered some flowers for Easter- the bunny didn’t get them to us till a few days after - but no matte… https://t.co/glycnTP1Oa 
TeamWorkBenz, Mon Apr 20 02:11:34 +0000 2020, -73.849441, 40.850347, The reason why I play SF on 2K 🐐🐐🐐 
LilacBoots, Mon Apr 20 02:11:34 +0000 2020, -73.829384, 40.912499, OMG EVERYONE IS DYING #Westworld 
heavyweight_nyc, Mon Apr 20 02:11:34 +0000 2020, -73.948775, 40.655138, @UrsineNoir After the love is gone 
cryptan, Mon Apr 20 02:11:34 +0000 2020, -73.968542, 40.780709, @espn: WTF??? 
_supcaroline, Mon Apr 20 02:11:34 +0000 2020, -77.604684, 41.117936, @_miamipapi @faithHOPEklove If someone told me they couldn’t come over bc they were sick with that emoji I’d send b… https://t.co/ueDUACgvc7 
Gus05891171, Mon Apr 20 02:11:34 +0000 2020, -73.831187, 40.670879, Check out Frank Masias's video! #TikTok https://t.co/rfZs6bcmks 
TheRealP_O, Mon Apr 20 02:11:34 +0000 2020, -73.968542, 40.780709, Scott Pippen couldn’t sound weirder 
vikkie, Mon Apr 20 02:11:34 +0000 2020, -73.948775, 40.655138, Ummmm idk if y’all realized...but Issa just acknowledged that *thing* that blew up last summer. #InsecureHBO 
hirokinagasawa, Mon Apr 20 02:11:35 +0000 2020, -73.968542, 40.780709, Okie-dokieはオフィスで隣に座ってた女性が毎日のように使っていた。初めは何のことやらと思っていたが笑 
ShaharAzani, Mon Apr 20 02:11:36 +0000 2020, -73.831187, 40.670879, I couldn’t agree more with the caption: #Antisemitism IS the #RealPlague. No matter how many new viruses there are,… https://t.co/hCwtKtCHyE 
R_E_B_E_L_, Mon Apr 20 02:11:37 +0000 2020, -73.849441, 40.850347, @JRojo1212 Felt gross lol 
theamyprince, Mon Apr 20 02:11:37 +0000 2020, -74.015336, 40.709667, 🤩🤩Weekly savings: 3.26% CRUSHTIP / 4.33% ELITROB🤩🤩Discover the results of the day using our automatic trading alg… https://t.co/w15mm27UTm 
brian_maurice, Mon Apr 20 02:11:38 +0000 2020, -73.968542, 40.780709, @eugenejohnson_ He is the modern prototype. 
stephenossola, Mon Apr 20 02:11:39 +0000 2020, -73.968542, 40.780709, i’m still screaming over michael jordan telling jerry krause to join the layup line and that they’ll lower the rim for him. #TheLastDance 
BiddleRaheme, Mon Apr 20 02:11:39 +0000 2020, -73.831187, 40.670879, WOWWWW @CeeLoGreen  WAS A #HOTTHING 😍😍😍😍😍 #Unsung  #GoodieMob @tvonetv 
ToTheBreakOfDan, Mon Apr 20 02:11:39 +0000 2020, -74.724323, 40.073041, @realDonaldTrump can I get 4 more stimulus checks please? https://t.co/nbzVWS6P1u 
kevgreenwood, Mon Apr 20 02:11:40 +0000 2020, -78.913360, 44.118294, If this is accurate, it offends/scares me deeply, saddens me for healthcare workers, but makes me proud to be 🇨🇦. A… https://t.co/iNLnV9a6qX 
AshleyJAE_, Mon Apr 20 02:11:41 +0000 2020, -73.968542, 40.780709, Molly right for not going to see Summer Walker #InsecureHBO 
womanisthbprof, Mon Apr 20 02:11:41 +0000 2020, -77.604684, 41.117936, @DeanKBD Saddened to hear this news. The giants keep falling. Rest with the ancestors Dr. Wilmore. 
hallowdBthyname, Mon Apr 20 02:11:42 +0000 2020, -74.240032, 40.417493, Jerry Krause looks like the phrase “I hate my boss” #TheLastDance 
Satisfies69, Mon Apr 20 02:11:42 +0000 2020, -74.006400, 40.714200, #TeamBeyondFreak #TeamIntelligentFreak#MeAndSomebodyDaughter @ New York, New York https://t.co/9pJ1gvFinJ 
retro2go, Mon Apr 20 02:11:43 +0000 2020, -74.142018, 41.111851, Scottie pippen looks like a black Sylvester Stallone 
gntlmnking, Mon Apr 20 02:11:43 +0000 2020, -73.849441, 40.850347, @Mxedone Pretty eyes 
mselip, Mon Apr 20 02:11:44 +0000 2020, -73.968542, 40.780709, @SmackeyCracks When isn’t he on unhinged. 
NYCKING, Mon Apr 20 02:11:44 +0000 2020, -73.831187, 40.670879, #TheLastDance #Bulls got Scottie Pippen from #Sonics and via #Knicks https://t.co/1aoJqlSYeq 
AnthonyMSG, Mon Apr 20 02:11:44 +0000 2020, -73.849441, 40.850347, Charles is still a bully, obviously... 
dickysmalls98, Mon Apr 20 02:11:45 +0000 2020, -74.167808, 40.915047, @ComradeSexy @comradesexy 
ShaunReidESQ, Mon Apr 20 02:11:45 +0000 2020, -73.948775, 40.655138, 😁 
_F1R3, Mon Apr 20 02:11:45 +0000 2020, -74.000761, 40.720756, One Temple Fitness: Temple Tips - Grieving During This New Normal  https://t.co/Hai56bsYa6 
DianaDaribel, Mon Apr 20 02:11:47 +0000 2020, -73.831187, 40.670879, I legit saw all three as the same pair 👵🏽 
MattMitovich, Mon Apr 20 02:11:48 +0000 2020, -74.098098, 41.065165, Hey it’s @ItsPaigeTurco   #NCISNOLA 
josephtravers, Mon Apr 20 02:11:48 +0000 2020, -79.272570, 43.629311, @sslaugh @ivanvector @theBicyKyle @KristinEff https://t.co/MqGd5cbHd5 
Porkins, Mon Apr 20 02:11:48 +0000 2020, -78.849400, 42.904700, Kotobikiya Astromechs looking for a new home... #SpringCleaning @ Buffalo, New York https://t.co/MhrvrSdZV4 
ianbonaparte, Mon Apr 20 02:11:48 +0000 2020, -73.948775, 40.655138, This is actually Kristen Stewart https://t.co/dhh8hzDLdi 
miiihrouu, Mon Apr 20 02:11:48 +0000 2020, -79.272570, 43.629311, ://////// https://t.co/x63mG5HGS6 
SyracuseLUX, Mon Apr 20 02:11:49 +0000 2020, -76.157301, 43.056892, Spring time flowers to brighten your day#springtime #spring #flowers #nature #fr #photography #naturephotography… https://t.co/cmcay18QQc 
E_Cohen19, Mon Apr 20 02:11:49 +0000 2020, -77.604684, 41.117936, God, i've seen what you do for others 🥺 
jcashaveli, Mon Apr 20 02:11:50 +0000 2020, -73.592152, 40.703108, Crying these former presidents getting no love 
GigiNSavannah, Mon Apr 20 02:11:50 +0000 2020, -77.604684, 41.117936, @KEEMSTAR $GinaCsaszar #DramaAlert 
britshaniece, Mon Apr 20 02:11:51 +0000 2020, -73.968542, 40.780709, Can we please never see sex again on screen? @insecurehbo 
tamaramarbury, Mon Apr 20 02:11:51 +0000 2020, -73.968542, 40.780709, Eww. #InsecureHBO 
adena_andrews, Mon Apr 20 02:11:51 +0000 2020, -73.972455, 40.848333, @Prof_Suddler @blackstar1906 @loumoore12 Scott! 
ji_minxx, Mon Apr 20 02:11:51 +0000 2020, -74.267242, 40.696176, Oh god @trookiekookie 
funny_hot_brown, Mon Apr 20 02:11:52 +0000 2020, -73.948775, 40.655138, @Marassta definitely! u don’t see that representation often or ever tbh 
sunnysideupsee, Mon Apr 20 02:11:52 +0000 2020, -73.831187, 40.670879, my neighbor is in her bag &amp; shawty has been playing all the corta venas. I need her to relax because this is not the time. 
chansham126, Mon Apr 20 02:11:53 +0000 2020, -79.272570, 43.629311, 我对不起头上这两个字了😂😂 https://t.co/UpIcuh8aRb 
seaveyystann, Mon Apr 20 02:11:53 +0000 2020, -78.159937, 43.901257, @JonahMarais HI I LOVE YOU 
MarkFischel, Mon Apr 20 02:11:54 +0000 2020, -73.948775, 40.655138, Even say back then, players wearing the wrong hat during the Draft was an issue. 
rinadondada, Mon Apr 20 02:11:54 +0000 2020, -79.272570, 43.629311, Mint Chocolate Chip ☺️ 
amanda_kane10, Mon Apr 20 02:11:54 +0000 2020, -73.449152, 40.717500, I would kill for some KFC rn. Just sayin 
jasmineefxx, Mon Apr 20 02:11:55 +0000 2020, -73.948775, 40.655138, Overthinking will be the death of me 
cheeksv, Mon Apr 20 02:11:55 +0000 2020, -75.770041, 42.746617, This woman. 
rahbiznyc, Mon Apr 20 02:11:56 +0000 2020, -73.829384, 40.912499, Never thought I’d ever tweet this but Fuck Charles Oakley 
